Date,Time,Defect Name,Station,Part of the Car,Reporter Name,Part Number,Severity Rating,Car Model,Motor Type,Design Package,Production Shift,Resolution Time (in hours),Root Cause Identified,Defect Category
06.11.23,17:45:00,Cracked Windshield,Tire and rim installation,Battery,Chris Lee,783866,6,Pick-Up,Long Range,Race,Afternoon,15,Yes,Functional
26.11.23,14:30:00,Cracked Windshield,First row seats installation,Windshield,Chris Lee,802644,6,IX0M,Long Range,Race,Morning,3,,Cosmetic
12.03.23,16:00:00,Paint Scratch,Second row seats installation,Door Panel,Chris Lee,925956,5,Alpina,High Performance,Offroad,Morning,8,Yes,Cosmetic
05.02.23,15:00:00,Cracked Windshield,Wire harness installation,Second Row Seats,Emily Davis,533766,5,IX0M,Long Range,Race,Night,14,,Functional
06.11.23,08:00:00,Loose Wiring,Tire and rim installation,Windshield,Emily Davis,753246,10,Alpina,Long Range,Offroad,Morning,18,Yes,Critical
19.04.23,11:00:00,Loose Wiring,Axel installation,Axel,Chris Lee,108972,5,Alpina,Long Range,Offroad,Morning,1,Yes,Cosmetic
27.04.23,12:00:00,Loose Wiring,Axel installation,Windshield,Michael Johnson,462700,2,IX0M,High Performance,Offroad,Afternoon,23,,Cosmetic
21.01.23,16:45:00,Sensor Failure,Tire and rim installation,Windshield,Michael Johnson,914501,5,Base,Standard,Race,Morning,9,Yes,Cosmetic
13.09.23,14:00:00,Paint Scratch,EV battery installation,Battery,Michael Johnson,586150,10,IX0M,Long Range,Race,Night,12,Yes,Cosmetic
18.02.23,17:45:00,Cracked Windshield,Axel installation,Axel,Chris Lee,810144,10,Long,High Performance,Race,Morning,23,Yes,Functional
02.04.23,12:30:00,Loose Wiring,Wire harness installation,Axel,John Doe,155253,8,Alpina,High Performance,Offroad,Morning,23,Yes,Cosmetic
04.05.23,11:45:00,Loose Wiring,Second row seats installation,Door Panel,Chris Lee,229471,3,Base,High Performance,Race,Afternoon,14,,Cosmetic
27.04.23,08:45:00,Cracked Windshield,EV battery installation,Windshield,Chris Lee,986331,2,IX0M,Standard,Luxury,Morning,13,,Cosmetic
27.09.23,15:45:00,Loose Wiring,Windshield installation,Axel,Chris Lee,714383,9,IX0M,Long Range,Offroad,Afternoon,14,No,Cosmetic
26.03.23,10:45:00,Loose Wiring,Steering wheel installation,Axel,Michael Johnson,145209,10,Base,Standard,Eco,Night,21,No,Cosmetic
31.05.23,17:30:00,Brake Malfucntion,Rear bumper installation,Windshield,Michael Johnson,235843,2,Base,Long Range,Race,Afternoon,6,,Cosmetic
07.12.23,11:15:00,Cracked Windshield,EV battery installation,Battery,Emily Davis,729384,10,IX0M,Long Range,Race,Afternoon,23,,Cosmetic
19.07.23,12:30:00,Cracked Windshield,Tire and rim installation,Dashboard,Michael Johnson,870741,4,Long,Standard,Luxury,Afternoon,17,Yes,Cosmetic
31.03.23,12:00:00,Paint Scracth,Dashboard installation,Windshield,Chris Lee,421569,2,Alpina,High Performance,Race,Morning,4,Yes,Functional
08.06.23,16:45:00,Faulty Battery,Axel installation,Door Panel,Emily Davis,438434,2,IX0M,Long Range,Offroad,Morning,16,Yes,Cosmetic
12.01.23,09:00:00,Paint Scratch,Axel installation,Axel,Chris Lee,399242,5,Base,Long Range,Eco,Morning,13,Yes,Cosmetic
02.05.23,10:45:00,Paint Scratch,Wire harness installation,Battery,Chris Lee,243606,4,Base,Long Range,Luxury,Night,19,,Electrical
28.08.23,11:15:00,Faulty Battery,Axel installation,Door Panel,Emily Davis,891376,10,IX0M,Standard,Luxury,Night,19,Yes,Cosmetic
28.01.23,09:15:00,Cracked Windshield,Windshield installation,Axel,Chris Lee,750056,1,Base,Long Range,Offroad,Morning,22,No,Cosmetic
08.01.23,13:30:00,Paint Scratch,Tire and rim installation,Battery,Chris Lee,399757,5,Long,Long Range,Race,Morning,21,Yes,Critical
12.07.23,10:15:00,Cracked Windshield,Tire and rim installation,Windshield,Michael Johnson,757095,8,Base,Long Range,Race,Morning,20,Yes,Cosmetic
21.01.23,17:30:00,Loose Wiring,Wire harness installation,Door Panel,Emily Davis,137670,1,IX0M,Long Range,Luxury,Morning,9,,Cosmetic
30.06.23,13:30:00,Cracked Windshield,EV battery installation,Axel,Chris Lee,151304,8,Base,High Performance,Luxury,Morning,19,Yes,Cosmetic
13.01.23,15:30:00,Loose Wiring,Tire and rim installation,Battery,Chris Lee,960065,1,IX0M,Standard,Race,Morning,14,,Cosmetic
31.12.23,10:30:00,Sensor Failure,Windshield installation,Wire Harness,Chris Lee,282866,5,Alpina,High Performance,Offroad,Morning,6,Yes,Critical
19.11.23,08:45:00,Loose Wiring,Tire and rim installation,Battery,Michael Johnson,373981,3,Base,Long Range,Eco,Night,4,,Cosmetic
24.04.23,15:15:00,Cracked Windshield,Second row seats installation,Windshield,Chris Lee,398392,6,Alpina,Long Range,Eco,Afternoon,1,,Cosmetic
16.03.23,08:15:00,Loose Wiring,Rear bumper installation,Dashboard,Michael Johnson,619722,8,Base,Long Range,Race,Morning,12,,Cosmetic
27.11.23,17:45:00,Loose Wiring,Steering wheel installation,Axel,Chris Lee,942017,7,Base,High Performance,Race,Afternoon,3,,Cosmetic
19.05.23,18:00:00,Cracked Windshield,Wire harness installation,First Row Seats,John Doe,226056,2,Base,Long Range,Offroad,Morning,19,,Cosmetic
14.02.23,11:30:00,Loose Wiring,Second row seats installation,Axel,Chris Lee,857726,1,Base,Long Range,Luxury,Morning,22,Yes,Cosmetic
11.05.23,13:00:00,Cracked Windshield,Rear bumper installation,Windshield,John Doe,161987,7,Base,Long Range,Offroad,Morning,17,,Cosmetic
01.04.23,09:00:00,Cracked Windshield,Windshieldi nstallation,Wire Harness,Emily Davis,541066,5,Long,Long Range,Race,Night,21,No,Cosmetic
11.06.23,09:45:00,Loose Wiring,Tire and rim installation,Windshield,Chris Lee,297372,5,IX0M,High Performance,Eco,Morning,3,Yes,Cosmetic
16.08.23,08:45:00,Loose Wriing,Windshield installation,Door Panel,Michael Johnson,749831,10,Base,High Performance,Luxury,Morning,1,Yes,Cosmetic
14.04.23,12:15:00,Cracked Windshield,Steering wheel installation,Axel,Emily Davis,639116,2,Base,High Performance,Race,Afternoon,23,Yes,Cosmetic
03.02.23,17:30:00,Faulty Battery,Dashboard installation,Door Panel,Chris Lee,791055,6,Alpina,Standard,Race,Afternoon,9,Yes,Cosmetic
16.03.23,14:15:00,Faulty Battery,Headlight installation,Wire Harness,John Doe,954740,4,Alpina,High Performance,Offroad,Afternoon,17,Yes,Cosmetic
15.05.23,12:45:00,Hydraulic Leak,EV battery installation,Dashboard,John Doe,364056,3,Base,Long Range,Offroad,Afternoon,15,Yes,Cosmetic
21.12.23,16:45:00,Faulty Battery,Windshield installation,Dashboard,Jane Smith,563100,7,Long,Long Range,Offroad,Morning,19,,Cosmetic
20.11.23,11:30:00,Cracked Windshield,Headlight installation,Wire Harness,Michael Johnson,983919,2,Base,Long Range,Offroad,Morning,22,,Cosmetic
27.04.23,09:30:00,Faulty Battery,Tire and rim installation,Dashboard,Chris Lee,303134,10,Alpina,Standard,Race,Morning,18,Yes,Critical
27.09.23,13:15:00,Loose Wiring,Tire and rim installation,Tires and Rims,Chris Lee,444439,9,Base,High Performance,Race,Morning,3,,Functional
10.06.23,17:30:00,lOose wiRINg,Second row seats installation,Axel,Michael Johnson,896225,6,Long,Long Range,Offroad,Afternoon,7,,Cosmetic
27.08.23,14:15:00,Cracked Windshield,Dashboard installation,Axel,Chris Lee,172797,2,IX0M,Standard,Offroad,Morning,17,Yes,Cosmetic
15.12.23,16:30:00,Brake Malfunction,Windshield installation,Battery,Chris Lee,248616,10,IX0M,Long Range,Race,Morning,7,Yes,Cosmetic
03.08.23,12:15:00,Loose Wiring,EV battery installation,Axel,John Doe,564411,7,IX0M,Standard,Eco,Afternoon,15,Yes,Cosmetic
16.01.23,12:00:00,Loose Wiring,Wire harness installation,Axel,Chris Lee,369550,2,Base,Long Range,Offroad,Morning,22,Yes,Cosmetic
06.01.23,16:45:00,Loose Wiring,Second row seats installation,Dashboard,Jane Smith,406333,10,Long,Long Range,Offroad,Afternoon,20,,Cosmetic
11.01.23,13:30:00,Sensor Failure,Windshield installation,Door Panel,Chris Lee,211455,7,IX0M,Long Range,Luxury,Afternoon,9,Yes,Cosmetic
05.01.23,10:00:00,Faulty Battery,Axel installation,Axel,Emily Davis,930837,7,Base,Long Range,Offroad,Night,9,,Cosmetic
20.02.23,12:00:00,Loose Wiring,Tire and rim installation,Door Panel,Emily Davis,738762,2,Alpina,Long Range,Race,Morning,15,,Cosmetic
12.07.23,10:00:00,Loose Wiring,Second row seats installation,Tires and Rims,Chris Lee,543984,1,Base,Long Range,Race,Afternoon,17,Yes,Cosmetic
19.02.23,12:30:00,Paint Scratch,Tire and rim installation,Tires and Rims,Michael Johnson,335549,10,Long,Long Range,Race,Morning,13,Yes,Cosmetic
13.07.23,11:30:00,Loose Wiring,Windshield installation,Dashboard,Chris Lee,501932,10,Base,High Performance,Offroad,Morning,20,Yes,Cosmetic
18.09.23,08:00:00,Paint Scratch,Axel installation,Second Row Seats,Jane Smith,198328,3,Base,Long Range,Offroad,Afternoon,7,,Cosmetic
01.07.23,09:15:00,Paint Scratch,EV battery installation,Axel,Chris Lee,910846,1,IX0M,Long Range,Luxury,Morning,21,,Cosmetic
28.02.23,14:15:00,Loose Wiring,EV battery installation,Battery,Chris Lee,254841,2,Base,Standard,Offroad,Afternoon,14,Yes,Cosmetic
12.06.23,09:00:00,Loose Wiring,Steering wheel installation,Battery,John Doe,481610,4,Alpina,Long Range,Race,Morning,16,,Cosmetic
01.11.23,11:30:00,Cracked Windshield,Dashboard installation,Battery,Chris Lee,475192,7,Base,Long Range,Offroad,Morning,8,,Cosmetic
14.02.23,17:30:00,Cracked Windshield,Headlight installation,Windshield,John Doe,133829,9,IX0M,Long Range,Race,Night,17,Yes,Cosmetic
29.05.23,08:00:00,Paint Scratch,Steering wheel installation,Tires and Rims,Michael Johnson,700921,5,Long,High Performance,Race,Morning,8,Yes,Cosmetic
13.07.23,16:00:00,Paint Scratch,Axel installation,Second Row Seats,Emily Davis,531623,7,IX0M,Long Range,Luxury,Morning,1,No,Critical
29.07.23,15:15:00,Cracked Windshield,Windshield installation,Wire Harness,Chris Lee,677152,4,IX0M,Long Range,Race,Morning,6,Yes,Electrical
04.02.23,16:00:00,Loose Wiring,Windshield installation,Wire Harness,John Doe,904471,9,IX0M,Long Range,Offroad,Morning,12,,Cosmetic
11.12.23,17:00:00,Loose Wiring,EV battery installation,Axel,Emily Davis,127575,2,Base,Long Range,Offroad,Night,3,Yes,Cosmetic
03.09.23,13:45:00,Loose Wiring,Second row seats installation,Axel,John Doe,590396,8,Alpina,Long Range,Luxury,Morning,3,,Cosmetic
28.09.23,14:15:00,Paint Scratch,Windshield installation,Tires and Rims,Emily Davis,578449,8,IX0M,Long Range,Race,Afternoon,15,Yes,Cosmetic
25.01.23,09:30:00,Faulty Battery,Tire and rim installation,Battery,Chris Lee,820715,7,Alpina,Standard,Offroad,Night,20,Yes,Cosmetic
12.02.23,11:30:00,Cracked Windshield,EV battery installation,Dashboard,Jane Smith,702800,2,Long,Long Range,Luxury,Afternoon,2,Yes,Cosmetic
29.07.23,11:30:00,Loose Wiring,EV battery installation,Axel,Chris Lee,852042,6,Base,Long Range,Luxury,Morning,4,No,Cosmetic
03.04.23,08:15:00,Cracked Windshield,Dashboard installation,Battery,Emily Davis,293268,10,IX0M,Standard,Offroad,Morning,21,Yes,Cosmetic
27.11.23,08:15:00,Cracked Windshield,EV battery installation,Second Row Seats,Michael Johnson,978946,1,Long,Standard,Luxury,Night,5,No,Cosmetic
30.05.23,09:15:00,Loose Wiring,Axel installation,Axel,John Doe,485242,4,Base,High Performance,Eco,Morning,21,,Functional
10.01.23,11:00:00,Loose Wiring,Axel installation,Door Panel,Jane Smith,970881,5,Base,High Performance,Offroad,Afternoon,4,Yes,Cosmetic
05.07.23,13:15:00,Cracked Windshield,EV battery installation,Wire Harness,Chris Lee,536550,4,IX0M,Long Range,Offroad,Morning,22,,Cosmetic
23.05.23,16:00:00,Loose Wiring,EV battery installation,Windshield,Emily Davis,571769,9,Long,High Performance,Luxury,Morning,19,,Cosmetic
24.02.23,15:45:00,Faulty Battery,Rear bumper installation,Battery,John Doe,747275,4,Long,Long Range,Race,Morning,21,Yes,Cosmetic
08.08.23,13:00:00,Faulty Battery,Second row seats installation,Axel,John Doe,521167,3,IX0M,High Performance,Race,Afternoon,1,Yes,Cosmetic
17.02.23,10:00:00,Paint Scratch,Tire and rim installation,Dashboard,Chris Lee,355311,7,IX0M,High Performance,Race,Night,16,No,Cosmetic
01.12.23,08:45:00,Loose Wiring,Steering wheel installation,Wire Harness,Chris Lee,937898,10,Base,Standard,Offroad,Morning,21,Yes,Cosmetic
02.07.23,10:00:00,Loose Wiring,Tire and rim installation,Axel,Michael Johnson,487345,9,Base,Long Range,Race,Morning,10,,Cosmetic
23.08.23,08:00:00,Cracked Windshield,Rear bumper installation,Wire Harness,Emily Davis,423240,4,Long,Long Range,Race,Morning,6,Yes,Cosmetic
30.08.23,11:15:00,Cracked Windshield,Axel installation,First Row Seats,Michael Johnson,978370,6,Base,High Performance,Luxury,Morning,19,Yes,Cosmetic
15.08.23,12:45:00,Cracked Windshield,Wire harness installation,Wire Harness,Michael Johnson,451649,6,IX0M,Long Range,Offroad,Night,16,,Cosmetic
24.11.23,12:30:00,Faulty Battery,Tire and rim installation,Steering Wheel,Chris Lee,970738,10,IX0M,Standard,Race,Afternoon,19,Yes,Cosmetic
22.02.23,10:30:00,Loose Wiring,Tire and rim installation,Windshield,Chris Lee,152774,2,IX0M,Long Range,Offroad,Afternoon,14,No,Cosmetic
04.08.23,15:00:00,Loose Wiring,First row seats installation,Door Panel,Chris Lee,535345,10,IX0M,High Performance,Race,Morning,12,Yes,Electrical
16.12.23,09:00:00,Faulty Battery,Second rwo seats installation,Dashboard,John Doe,400311,9,IX0M,Long Range,Offroad,Morning,15,,Cosmetic
02.12.23,09:00:00,Cracked Windshield,Axel installation,Wire Harness,John Doe,927020,8,Pick-Up,Long Range,Race,Afternoon,13,Yes,Cosmetic
11.11.23,13:45:00,Loose Wiring,Dashboard installation,Headlight,Chris Lee,246561,8,Base,Long Range,Offroad,Morning,5,No,Cosmetic
01.01.23,11:00:00,Cracked Windshield,Second row seats installation,Windshield,Emily Davis,863203,1,Long,Long Range,Offroad,Morning,11,Yes,Cosmetic
09.10.23,12:00:00,Paint Scratch,Windshield installation,Battery,Michael Johnson,743257,2,Alpina,Standard,Offroad,Night,12,Yes,Functional
11.04.23,16:45:00,Loose Wiring,Dashboard installation,Steering Wheel,Michael Johnson,266125,5,Long,High Performance,Race,Morning,19,Yes,Cosmetic
01.06.23,08:00:00,Faulty Battery,Axel installation,Axel,Chris Lee,617312,4,Alpina,High Performance,Race,Morning,7,,Cosmetic
19.07.23,17:30:00,Faulty Battery,EV battery installation,Battery,Michael Johnson,621677,9,Long,High Performance,Offroad,Morning,12,Yes,Cosmetic
01.11.23,17:15:00,Cracked Windshield,Windshield installation,Battery,John Doe,846011,6,IX0M,Long Range,Race,Afternoon,20,Yes,Cosmetic
05.03.23,08:45:00,Cracked Windshield,Steering wheel installation,Tires and Rims,Michael Johnson,338662,2,IX0M,High Performance,Offroad,Afternoon,1,Yes,Cosmetic
16.08.23,15:00:00,Cracked Windshield,EV battery installation,Steering Wheel,Michael Johnson,434576,9,Alpina,Long Range,Offroad,Morning,19,Yes,Functional
09.08.23,10:00:00,Loose Wiring,Rear bumper installation,Wire Harness,Jane Smith,553054,6,IX0M,Standard,Race,Morning,14,Yes,Cosmetic
03.12.23,11:15:00,Faulty Battery,Tire and rim installation,Tires and Rims,Michael Johnson,877731,10,Long,Long Range,Luxury,Afternoon,13,,Cosmetic
15.01.23,09:45:00,Faulty Battery,Steering wheel installation,Dashboard,Chris Lee,216771,7,IX0M,High Performance,Offroad,Afternoon,18,Yes,Cosmetic
08.07.23,10:00:00,Paint Scratch,EV battery installation,Dashboard,Jane Smith,920129,9,Base,Long Range,Offroad,Morning,5,,Cosmetic
06.12.23,13:30:00,LoOse wIrInG,Rear bumper installation,Dashboard,Michael Johnson,490929,2,IX0M,Long Range,Offroad,Afternoon,21,Yes,Cosmetic
25.07.23,14:15:00,Loose Wiring,Tire and rim installation,Windshield,Chris Lee,316855,3,Base,Long Range,Race,Morning,21,Yes,Cosmetic
08.02.23,08:15:00,Cracked Windshield,Wire harness installation,Windshield,John Doe,804964,1,IX0M,Long Range,Offroad,Afternoon,16,Yes,Cosmetic
26.12.23,08:00:00,Faulty Battery,Tire and rim installation,Battery,Chris Lee,893104,3,Long,Long Range,Offroad,Morning,11,Yes,Cosmetic
22.11.23,09:00:00,Loose Wiring,Axel installation,Axel,John Doe,371297,2,Long,Long Range,Luxury,Morning,1,,Critical
13.10.23,14:00:00,Cracked Windshield,Wire harness installation,Door Panel,Michael Johnson,778500,6,Long,Long Range,Offroad,Afternoon,4,,Functional
08.09.23,09:45:00,Loose Wiring,Dashboard installation,Wire Harness,Michael Johnson,851732,5,Long,Long Range,Luxury,Night,2,Yes,Cosmetic
29.05.23,13:45:00,CRackED windsHIeLd,Wire harness installation,Steering Wheel,Emily Davis,834500,2,Long,High Performance,Offroad,Afternoon,4,No,Cosmetic
04.02.23,11:00:00,FauLty BattEry,Steering wheel installation,Windshield,Michael Johnson,594723,3,Alpina,High Performance,Race,Morning,21,No,Cosmetic
12.06.23,17:30:00,Paint Scratch,Dashboard installation,Door Panel,Chris Lee,915625,9,Long,High Performance,Eco,Morning,14,Yes,Functional
16.05.23,11:45:00,Cracked Windshield,Second row seats installation,Battery,Michael Johnson,448440,10,IX0M,High Performance,Luxury,Afternoon,23,,Cosmetic
03.09.23,10:00:00,Cracked Windshield,Axel installation,Battery,Emily Davis,485229,10,Long,High Performance,Offroad,Afternoon,19,Yes,Functional
25.08.23,12:15:00,Faulty Battery,Dashboard installation,Windshield,Emily Davis,259157,4,Long,Standard,Race,Morning,10,Yes,Cosmetic
31.03.23,18:00:00,Cracked Windshield,First row seats installation,Second Row Seats,Chris Lee,981437,2,Alpina,Standard,Luxury,Night,4,Yes,Cosmetic
28.09.23,17:15:00,Loose Wiring,Axel installation,Battery,Chris Lee,602205,6,Base,Long Range,Race,Morning,7,Yes,Functional
03.06.23,08:30:00,Cracked Windshield,Axel installation,Wire Harness,Michael Johnson,625418,6,IX0M,High Performance,Offroad,Afternoon,7,,Cosmetic
20.04.23,13:30:00,Cracked Windshield,EV battery installation,Battery,Chris Lee,859603,3,Alpina,High Performance,Offroad,Night,14,Yes,Cosmetic
13.01.23,09:00:00,Paint Scratch,Tire and rim installation,Axel,John Doe,849553,9,IX0M,Long Range,Offroad,Morning,1,Yes,Cosmetic
13.05.23,12:00:00,Sensor Failure,Axel installation,Battery,John Doe,444512,1,Long,Long Range,Race,Morning,20,,Cosmetic
23.08.23,16:45:00,Sensor Failure,Windshield installation,Battery,John Doe,883398,10,Long,High Performance,Offroad,Morning,3,No,Cosmetic
20.12.23,15:45:00,Loose Wiring,Axel installation,Headlight,Michael Johnson,699378,7,Alpina,Standard,Race,Afternoon,10,No,Functional
17.03.23,10:00:00,Loose Wiring,Steering wheel installation,Door Panel,Emily Davis,639406,6,IX0M,Long Range,Luxury,Afternoon,8,,Cosmetic
13.12.23,15:30:00,Cracked Windshield,EV battery installation,Door Panel,John Doe,922640,4,Base,Long Range,Race,Morning,19,,Cosmetic
11.04.23,15:30:00,Hydraulic Leak,EV battery installation,Battery,John Doe,880595,5,Base,Long Range,Race,Night,8,Yes,Cosmetic
10.03.23,14:15:00,Hydraulic Leak,EV battery installation,Battery,Chris Lee,579464,4,IX0M,High Performance,Eco,Morning,11,,Cosmetic
28.06.23,17:15:00,Sensor Failure,Axel installation,Door Panel,Chris Lee,586985,3,Base,Standard,Luxury,Morning,14,Yes,Cosmetic
17.07.23,11:30:00,PaINT scRaTch,First row seats installation,Axel,John Doe,737029,10,Alpina,Standard,Offroad,Afternoon,17,Yes,Cosmetic
03.05.23,16:30:00,Faulty Battery,Steering wheel installation,Steering Wheel,Chris Lee,350317,7,IX0M,Long Range,Offroad,Morning,8,Yes,Cosmetic
22.05.23,10:15:00,Loose Wiring,Steering wheel installation,Dashboard,Michael Johnson,379667,9,Long,Long Range,Offroad,Afternoon,1,Yes,Electrical
05.06.23,15:45:00,Cracked Windshield,Steering wheel installation,Wire Harness,Chris Lee,886987,7,Alpina,High Performance,Luxury,Morning,22,Yes,Cosmetic
27.02.23,12:15:00,Hydraulic Leak,EV battery installation,Battery,Chris Lee,500901,8,Base,Standard,Luxury,Morning,9,Yes,Cosmetic
22.04.23,16:45:00,Loose Wiring,Axel installation,Battery,Emily Davis,158576,10,Base,Long Range,Luxury,Morning,12,No,Cosmetic
08.01.23,09:00:00,Loose Wiring,Wire harness installation,Axel,Chris Lee,295580,6,Alpina,Long Range,Race,Night,16,,Cosmetic
05.02.23,12:00:00,Cracked Windshield,Dashboard installation,Windshield,Emily Davis,406909,6,Alpina,Standard,Luxury,Afternoon,13,Yes,Cosmetic
01.03.23,08:45:00,Cracked Windshield,Second row seats installation,Door Panel,Chris Lee,222068,9,IX0M,High Performance,Eco,Afternoon,14,,Cosmetic
04.12.23,10:15:00,Loose iWring,Headlight installation,Battery,Michael Johnson,564837,4,Long,High Performance,Eco,Afternoon,18,Yes,Cosmetic
09.08.23,11:30:00,Loose Wiring,Axel installation,Second Row Seats,John Doe,570547,3,IX0M,Standard,Offroad,Night,9,Yes,Cosmetic
10.09.23,13:45:00,Loose Wiring,Tire and rim installation,Tires and Rims,Emily Davis,478770,4,Alpina,High Performance,Luxury,Afternoon,11,Yes,Cosmetic
25.12.23,14:15:00,Hydraulic Leak,Headlight installation,Battery,Michael Johnson,960183,6,Base,High Performance,Offroad,Morning,4,No,Cosmetic
22.06.23,11:15:00,Hydraulic Leak,Axel installation,Door Panel,Chris Lee,697408,9,IX0M,Standard,Offroad,Morning,22,,Cosmetic
28.01.23,10:30:00,Cracked Windshield,Rear bumper installation,Battery,Jane Smith,984208,4,IX0M,Long Range,Eco,Afternoon,13,Yes,Critical
21.10.23,18:00:00,Loose Wiring,Dashboard installation,Battery,John Doe,616325,1,Base,High Performance,Race,Night,21,,Cosmetic
28.04.23,09:30:00,Cracked Windshield,Windshield installation,Door Panel,Jane Smith,995791,9,Alpina,Long Range,Offroad,Afternoon,3,Yes,Cosmetic
29.05.23,16:30:00,Cracked Windshield,Axel installation,Windshield,John Doe,271216,6,Base,High Performance,Race,Afternoon,13,Yes,Cosmetic
10.08.23,09:00:00,Sensor Failure,Windshield installation,Dashboard,Chris Lee,288409,8,Alpina,Long Range,Offroad,Morning,4,Yes,Cosmetic
17.01.23,09:30:00,Cracked Windshield,Windshield installation,Battery,Chris Lee,528129,3,Base,Standard,Race,Afternoon,15,,Cosmetic
22.08.23,13:30:00,Loose Wiring,Axel installation,Axel,Chris Lee,588925,8,Base,Standard,Offroad,Afternoon,3,,Cosmetic
29.04.23,09:30:00,Loose Wiring,EV battery installation,Axel,John Doe,391444,4,IX0M,Standard,Offroad,Afternoon,8,,Cosmetic
19.09.23,14:15:00,Faulty Battery,EV battery installation,Steering Wheel,Michael Johnson,736620,3,IX0M,High Performance,Luxury,Morning,1,Yes,Cosmetic
02.05.23,09:00:00,Paint Scratch,EV battery installation,Door Panel,Michael Johnson,835618,9,Long,High Performance,Offroad,Afternoon,19,,Cosmetic
20.07.23,15:15:00,Faulty Battery,Windshield installation,Windshield,Chris Lee,468250,8,Long,Long Range,Eco,Afternoon,2,,Cosmetic
20.11.23,15:15:00,Loose Wiring,Dashboard installation,Door Panel,John Doe,902114,10,Long,Long Range,Offroad,Night,7,,Cosmetic
30.10.23,08:00:00,Loose Wiring,Wire harness installation,Axel,Emily Davis,753992,7,IX0M,High Performance,Offroad,Night,21,Yes,Cosmetic
14.03.23,18:00:00,Loose Wiring,Wire harness installation,Wire Harness,Michael Johnson,925998,6,Base,Standard,Offroad,Afternoon,6,,Cosmetic
09.04.23,12:30:00,Cracked Windshield,Tire and rim installation,Battery,John Doe,248665,1,Base,High Performance,Offroad,Night,1,,Cosmetic
21.10.23,09:15:00,Paint Scratch,Rear bumper installation,Battery,John Doe,124729,3,Base,High Performance,Offroad,Night,12,Yes,Cosmetic
04.10.23,15:00:00,Loose Wiring,Axel installation,Wire Harness,Emily Davis,547022,2,IX0M,Long Range,Luxury,Night,5,,Cosmetic
19.06.23,16:00:00,Cracked Windshield,EV battery installation,First Row Seats,Michael Johnson,925272,4,Alpina,Long Range,Race,Morning,19,Yes,Cosmetic
04.03.23,10:00:00,Cracked Windshield,Wire harness installation,Windshield,Chris Lee,812873,5,Long,High Performance,Race,Night,1,Yes,Cosmetic
13.02.23,15:15:00,braKE mAlFuNcTIon,EV battery installation,Door Panel,Michael Johnson,372977,8,Pick-Up,Standard,Race,Morning,19,Yes,Cosmetic
16.11.23,09:00:00,lOOeS wiRing,Headlight installation,Tires and Rims,John Doe,930778,3,Long,Standard,Offroad,Morning,11,,Functional
29.04.23,13:45:00,Loose Wiring,EV battery installation,Battery,John Doe,155019,6,IX0M,Long Range,Offroad,Afternoon,12,,Cosmetic
09.10.23,11:45:00,Loose Wiring,Steering wheel installation,Axel,Chris Lee,632165,10,Base,Long Range,Offroad,Afternoon,20,,Cosmetic
17.04.23,12:15:00,Cracked Windshield,Dashboard installation,Wire Harness,Chris Lee,770704,5,IX0M,High Performance,Offroad,Afternoon,22,Yes,Functional
22.10.23,18:00:00,Loose Wiring,Axel installation,Second Row Seats,Jane Smith,798237,8,Base,High Performance,Race,Morning,3,Yes,Cosmetic
01.05.23,08:45:00,Loose Wiring,Headlight installation,Wire Harness,Chris Lee,848856,1,Base,Long Range,Offroad,Night,21,No,Cosmetic
03.12.23,17:00:00,Cracked Windshield,Second row seats installation,Axel,Michael Johnson,727497,10,IX0M,Standard,Offroad,Afternoon,9,,Cosmetic
27.01.23,17:45:00,Loose Wiring,Tire and rim installation,Second Row Seats,John Doe,317587,5,Base,Standard,Luxury,Night,9,Yes,Cosmetic
20.05.23,17:15:00,Cracked Windshield,Wire harness installation,Second Row Seats,Jane Smith,908675,6,Long,High Performance,Offroad,Morning,18,Yes,Cosmetic
26.11.23,11:15:00,Loose Wiring,Axel installation,Tires and Rims,John Doe,306801,5,Base,Long Range,Offroad,Night,8,Yes,Cosmetic
25.08.23,13:00:00,Sensor Failure,Wire harness installation,Battery,Michael Johnson,274656,10,Alpina,High Performance,Offroad,Afternoon,1,Yes,Cosmetic
16.10.23,15:15:00,Paint Scratch,Axel installation,Axel,Chris Lee,603793,7,Long,Long Range,Offroad,Morning,12,,Cosmetic
27.03.23,10:45:00,Faulty Battery,Dashboard installation,Battery,Emily Davis,864133,4,Alpina,High Performance,Offroad,Morning,9,,Cosmetic
22.02.23,18:00:00,Sensor Failure,Second row seats installation,Door Panel,Jane Smith,562429,3,Long,Standard,Race,Afternoon,2,Yes,Cosmetic
30.09.23,15:00:00,Loose Wiring,Wire harness installation,Battery,John Doe,983432,4,IX0M,Long Range,Offroad,Morning,21,Yes,Cosmetic
29.01.23,09:45:00,Paint Scratch,Steering wheel installation,Battery,Emily Davis,413449,3,Base,Long Range,Race,Night,1,Yes,Cosmetic
25.01.23,10:45:00,Hydraulic Leak,EV battery installation,Second Row Seats,Emily Davis,267491,1,IX0M,High Performance,Luxury,Afternoon,6,,Cosmetic
11.10.23,11:15:00,Loose Wiring,Tire and rim installation,Door Panel,John Doe,849148,9,Pick-Up,High Performance,Race,Afternoon,11,,Cosmetic
10.12.23,11:30:00,Loose Wiring,Axel installation,First Row Seats,John Doe,743338,4,Alpina,Standard,Offroad,Night,7,Yes,Cosmetic
